Altitude,Temperature,Pressure,Density,Viscosity
-2000, 301.15, 1.27774E+5, 1.47808, 1.87630E-5
-1000, 294.65, 1.13929E+5, 1.34700, 1.84434E-5
0, 288.15, 1.01325E+5, 1.22500, 1.81206E-5
1000, 281.65, 8.98746E+4, 1.11164, 1.77943E-5
2000, 275.15, 7.94952E+4, 1.00649, 1.74645E-5
3000, 268.65, 7.01085E+4, 9.09122E-1, 1.71311E-5
4000, 262.15, 6.16402E+4, 8.19129E-1, 1.67940E-5
5000, 255.65, 5.40199E+4, 7.36116E-1, 1.64531E-5
6000, 249.15, 4.71810E+4, 6.59697E-1, 1.61084E-5
7000, 242.65, 4.10607E+4, 5.89501E-1, 1.57596E-5
8000, 236.15, 3.55998E+4, 5.25168E-1, 1.54068E-5
9000, 229.65, 3.07425E+4, 4.66348E-1, 1.50498E-5
10000, 223.15, 2.64363E+4, 4.12707E-1, 1.46884E-5
12000, 216.65, 1.93304E+4, 3.10828E-1, 1.43226E-5
15000, 216.65, 1.20446E+4, 1.93674E-1, 1.43226E-5
20000, 216.65, 5.47489E+3, 8.80349E-2, 1.43226E-5
25000, 221.65, 2.51102E+3, 3.94658E-2, 1.46044E-5
30000, 226.65, 1.17187E+3, 1.80119E-2, 1.48835E-5
35000, 237.05, 5.58924E+2, 8.21392E-3, 1.54559E-5
40000, 251.05, 2.77522E+2, 3.85101E-3, 1.62096E-5
45000, 265.05, 1.43135E+2, 1.88129E-3, 1.69449E-5
50000, 270.65, 7.59448E+1, 9.77525E-4, 1.72341E-5
60000, 245.45, 2.03143E+1, 2.88321E-4, 1.59104E-5
70000, 217.45, 4.63422, 7.42430E-5, 1.43679E-5
80000, 196.65, 8.86280E-1, 1.57005E-5, 1.31682E-5
84852, 186.95, 3.73384E-1, 6.95788E-6, 1.25915E-5
